,Date,Energie (kWh),Installation,Irradiance
5580,2023-06-23 12:00:00,767.67,LYCEE RESTAT - SERRE,
5581,2023-06-23 13:00:00,766.08,LYCEE RESTAT - SERRE,
5582,2023-06-23 14:00:00,748.42,LYCEE RESTAT - SERRE,
5583,2023-06-23 15:00:00,650.0,LYCEE RESTAT - SERRE,
5584,2023-06-23 16:00:00,702.5,LYCEE RESTAT - SERRE,
5585,2023-06-23 17:00:00,586.25,LYCEE RESTAT - SERRE,
5586,2023-06-23 18:00:00,399.0,LYCEE RESTAT - SERRE,
5587,2023-06-23 19:00:00,188.08,LYCEE RESTAT - SERRE,
5588,2023-06-23 20:00:00,46.0,LYCEE RESTAT - SERRE,
5589,2023-06-23 21:00:00,6.33,LYCEE RESTAT - SERRE,
5590,2023-06-23 22:00:00,0.0,LYCEE RESTAT - SERRE,
5591,2023-06-23 23:00:00,0.0,LYCEE RESTAT - SERRE,
5592,2023-06-24 00:00:00,0.0,LYCEE RESTAT - SERRE,
5593,2023-06-24 01:00:00,0.0,LYCEE RESTAT - SERRE,
5594,2023-06-24 02:00:00,0.0,LYCEE RESTAT - SERRE,
5595,2023-06-24 03:00:00,0.0,LYCEE RESTAT - SERRE,
5596,2023-06-24 04:00:00,0.0,LYCEE RESTAT - SERRE,
5597,2023-06-24 05:00:00,0.0,LYCEE RESTAT - SERRE,
5598,2023-06-24 06:00:00,5.75,LYCEE RESTAT - SERRE,
5599,2023-06-24 07:00:00,58.33,LYCEE RESTAT - SERRE,
5600,2023-06-24 08:00:00,221.33,LYCEE RESTAT - SERRE,
5601,2023-06-24 09:00:00,423.92,LYCEE RESTAT - SERRE,
5602,2023-06-24 10:00:00,593.67,LYCEE RESTAT - SERRE,
5603,2023-06-24 11:00:00,707.42,LYCEE RESTAT - SERRE,
5604,2023-06-24 12:00:00,743.33,LYCEE RESTAT - SERRE,
5605,2023-06-24 13:00:00,755.25,LYCEE RESTAT - SERRE,
5606,2023-06-24 14:00:00,754.92,LYCEE RESTAT - SERRE,
5607,2023-06-24 15:00:00,727.25,LYCEE RESTAT - SERRE,
5608,2023-06-24 16:00:00,683.08,LYCEE RESTAT - SERRE,
5609,2023-06-24 17:00:00,572.75,LYCEE RESTAT - SERRE,
5610,2023-06-24 18:00:00,395.5,LYCEE RESTAT - SERRE,
5611,2023-06-24 19:00:00,192.08,LYCEE RESTAT - SERRE,
5612,2023-06-24 20:00:00,45.08,LYCEE RESTAT - SERRE,
5613,2023-06-24 21:00:00,6.75,LYCEE RESTAT - SERRE,
5614,2023-06-24 22:00:00,0.0,LYCEE RESTAT - SERRE,
5615,2023-06-24 23:00:00,0.0,LYCEE RESTAT - SERRE,
5616,2023-06-25 00:00:00,0.0,LYCEE RESTAT - SERRE,
5617,2023-06-25 01:00:00,0.0,LYCEE RESTAT - SERRE,
5618,2023-06-25 02:00:00,0.0,LYCEE RESTAT - SERRE,
5619,2023-06-25 03:00:00,0.0,LYCEE RESTAT - SERRE,
5620,2023-06-25 04:00:00,0.0,LYCEE RESTAT - SERRE,
5621,2023-06-25 05:00:00,0.0,LYCEE RESTAT - SERRE,
5622,2023-06-25 06:00:00,4.75,LYCEE RESTAT - SERRE,
5623,2023-06-25 07:00:00,56.0,LYCEE RESTAT - SERRE,
5624,2023-06-25 08:00:00,220.58,LYCEE RESTAT - SERRE,
5625,2023-06-25 09:00:00,423.17,LYCEE RESTAT - SERRE,
5626,2023-06-25 10:00:00,587.08,LYCEE RESTAT - SERRE,
5627,2023-06-25 11:00:00,700.42,LYCEE RESTAT - SERRE,
5628,2023-06-25 12:00:00,730.25,LYCEE RESTAT - SERRE,
5629,2023-06-25 13:00:00,742.0,LYCEE RESTAT - SERRE,
5630,2023-06-25 14:00:00,744.5,LYCEE RESTAT - SERRE,
5631,2023-06-25 15:00:00,716.08,LYCEE RESTAT - SERRE,
5632,2023-06-25 16:00:00,662.42,LYCEE RESTAT - SERRE,
5633,2023-06-25 17:00:00,543.92,LYCEE RESTAT - SERRE,
