"idDonneesCentrale","temps","compteurEnergie","irradiance_en_watt_par_surface","idCentrale_id"
363,"2024-03-19 09:30:00+01",NULL,"17.41",4
364,"2024-03-19 09:35:00+01",NULL,"0.00",4
365,"2024-03-19 09:40:00+01",NULL,"0.00",4
366,"2024-03-19 09:45:00+01",NULL,"24.78",4
367,"2024-03-19 09:50:00+01",NULL,"0.00",4
368,"2024-03-19 09:55:00+01",NULL,"0.00",4
369,"2024-03-19 10:00:00+01",NULL,"34.27",4
370,"2024-03-19 10:05:00+01",NULL,"0.00",4
371,"2024-03-19 10:10:00+01",NULL,"0.00",4
372,"2024-03-19 10:15:00+01",NULL,"44.18",4
373,"2024-03-19 10:20:00+01",NULL,"0.00",4
374,"2024-03-19 10:25:00+01",NULL,"0.00",4
375,"2024-03-19 10:30:00+01",NULL,"55.10",4
376,"2024-03-19 10:35:00+01",NULL,"0.00",4
377,"2024-03-19 10:40:00+01",NULL,"0.00",4
378,"2024-03-19 10:45:00+01",NULL,"66.89",4
379,"2024-03-19 10:50:00+01",NULL,"0.00",4
380,"2024-03-19 10:55:00+01",NULL,"0.00",4
381,"2024-03-19 11:00:00+01",NULL,"79.80",4
382,"2024-03-19 11:05:00+01",NULL,"0.00",4
383,"2024-03-19 11:10:00+01",NULL,"0.00",4
384,"2024-03-19 11:15:00+01",NULL,"89.60",4
385,"2024-03-19 11:20:00+01",NULL,"0.00",4
386,"2024-03-19 11:25:00+01",NULL,"0.00",4
387,"2024-03-19 11:30:00+01",NULL,"102.27",4
388,"2024-03-19 11:35:00+01",NULL,"0.00",4
389,"2024-03-19 11:40:00+01",NULL,"0.00",4
390,"2024-03-19 11:45:00+01",NULL,"103.80",4
391,"2024-03-19 11:50:00+01",NULL,"0.00",4
392,"2024-03-19 11:55:00+01",NULL,"0.00",4
393,"2024-03-19 12:00:00+01",NULL,"121.90",4
394,"2024-03-19 12:05:00+01",NULL,"0.00",4
395,"2024-03-19 12:10:00+01",NULL,"0.00",4
396,"2024-03-19 12:15:00+01",NULL,"137.27",4
397,"2024-03-19 12:20:00+01",NULL,"0.00",4
398,"2024-03-19 12:25:00+01",NULL,"0.00",4
399,"2024-03-19 12:30:00+01",NULL,"147.25",4
400,"2024-03-19 12:35:00+01",NULL,"0.00",4
401,"2024-03-19 12:40:00+01",NULL,"0.00",4
402,"2024-03-19 12:45:00+01",NULL,"156.79",4
403,"2024-03-19 12:50:00+01",NULL,"0.00",4
404,"2024-03-19 12:55:00+01",NULL,"0.00",4
405,"2024-03-19 13:00:00+01",NULL,"165.45",4
406,"2024-03-19 13:05:00+01",NULL,"0.00",4
407,"2024-03-19 13:10:00+01",NULL,"0.00",4
408,"2024-03-19 13:15:00+01",NULL,"174.21",4
409,"2024-03-19 13:20:00+01",NULL,"0.00",4
410,"2024-03-19 13:25:00+01",NULL,"0.00",4
411,"2024-03-19 13:30:00+01",NULL,"181.36",4
412,"2024-03-19 13:35:00+01",NULL,"0.00",4
413,"2024-03-19 13:40:00+01",NULL,"0.00",4
