,Date,Energie (kWh),Centrale,Installation
1407,2023-07-29 15:00:00,610.0,,LYCEE RESTAT - SERRE
1408,2023-07-29 16:00:00,463.5,,LYCEE RESTAT - SERRE
1409,2023-07-29 17:00:00,484.17,,LYCEE RESTAT - SERRE
1410,2023-07-29 18:00:00,337.17,,LYCEE RESTAT - SERRE
1411,2023-07-29 19:00:00,116.25,,LYCEE RESTAT - SERRE
1412,2023-07-29 20:00:00,36.58,,LYCEE RESTAT - SERRE
1413,2023-07-29 21:00:00,1.58,,LYCEE RESTAT - SERRE
1414,2023-07-29 22:00:00,0.0,,LYCEE RESTAT - SERRE
1415,2023-07-29 23:00:00,0.0,,LYCEE RESTAT - SERRE
1416,2023-07-30 00:00:00,0.0,,LYCEE RESTAT - SERRE
1417,2023-07-30 01:00:00,0.0,,LYCEE RESTAT - SERRE
1418,2023-07-30 02:00:00,0.0,,LYCEE RESTAT - SERRE
1419,2023-07-30 03:00:00,0.0,,LYCEE RESTAT - SERRE
1420,2023-07-30 04:00:00,0.0,,LYCEE RESTAT - SERRE
1421,2023-07-30 05:00:00,0.0,,LYCEE RESTAT - SERRE
1422,2023-07-30 06:00:00,0.0,,LYCEE RESTAT - SERRE
1423,2023-07-30 07:00:00,39.5,,LYCEE RESTAT - SERRE
1424,2023-07-30 08:00:00,170.83,,LYCEE RESTAT - SERRE
1425,2023-07-30 09:00:00,329.42,,LYCEE RESTAT - SERRE
1426,2023-07-30 10:00:00,548.17,,LYCEE RESTAT - SERRE
1427,2023-07-30 11:00:00,581.25,,LYCEE RESTAT - SERRE
1428,2023-07-30 12:00:00,589.58,,LYCEE RESTAT - SERRE
1429,2023-07-30 13:00:00,499.0,,LYCEE RESTAT - SERRE
1430,2023-07-30 14:00:00,601.58,,LYCEE RESTAT - SERRE
1431,2023-07-30 15:00:00,728.5,,LYCEE RESTAT - SERRE
1432,2023-07-30 16:00:00,547.58,,LYCEE RESTAT - SERRE
1433,2023-07-30 17:00:00,278.5,,LYCEE RESTAT - SERRE
1434,2023-07-30 18:00:00,247.58,,LYCEE RESTAT - SERRE
1435,2023-07-30 19:00:00,158.17,,LYCEE RESTAT - SERRE
1436,2023-07-30 20:00:00,35.0,,LYCEE RESTAT - SERRE
1437,2023-07-30 21:00:00,1.5,,LYCEE RESTAT - SERRE
1438,2023-07-30 22:00:00,0.0,,LYCEE RESTAT - SERRE
1439,2023-07-30 23:00:00,0.0,,LYCEE RESTAT - SERRE
1440,2023-07-31 00:00:00,0.0,,LYCEE RESTAT - SERRE
1441,2023-07-31 01:00:00,0.0,,LYCEE RESTAT - SERRE
1442,2023-07-31 02:00:00,0.0,,LYCEE RESTAT - SERRE
1443,2023-07-31 03:00:00,0.0,,LYCEE RESTAT - SERRE
1444,2023-07-31 04:00:00,0.0,,LYCEE RESTAT - SERRE
1445,2023-07-31 05:00:00,0.0,,LYCEE RESTAT - SERRE
1446,2023-07-31 06:00:00,0.17,,LYCEE RESTAT - SERRE
1447,2023-07-31 07:00:00,30.0,,LYCEE RESTAT - SERRE
1448,2023-07-31 08:00:00,166.92,,LYCEE RESTAT - SERRE
1449,2023-07-31 09:00:00,375.0,,LYCEE RESTAT - SERRE
