﻿Installation,ID client,Date,Courbe de charge (kWh)
SAINT MARCEL,,2023-06-10 02:00:00,0.00
SAINT MARCEL,,2023-06-10 03:00:00,0.00
SAINT MARCEL,,2023-06-10 04:00:00,0.00
SAINT MARCEL,,2023-06-10 05:00:00,0.00
SAINT MARCEL,,2023-06-10 06:00:00,18.33
SAINT MARCEL,,2023-06-10 07:00:00,46.92
SAINT MARCEL,,2023-06-10 08:00:00,104.75
SAINT MARCEL,,2023-06-10 09:00:00,271.75
SAINT MARCEL,,2023-06-10 10:00:00,365.42
SAINT MARCEL,,2023-06-10 11:00:00,426.75
SAINT MARCEL,,2023-06-10 12:00:00,368.92
SAINT MARCEL,,2023-06-10 13:00:00,435.50
SAINT MARCEL,,2023-06-10 14:00:00,353.42
SAINT MARCEL,,2023-06-10 15:00:00,298.08
SAINT MARCEL,,2023-06-10 16:00:00,144.50
SAINT MARCEL,,2023-06-10 17:00:00,218.75
SAINT MARCEL,,2023-06-10 18:00:00,117.50
SAINT MARCEL,,2023-06-10 19:00:00,87.08
SAINT MARCEL,,2023-06-10 20:00:00,17.17
SAINT MARCEL,,2023-06-10 21:00:00,0.58
SAINT MARCEL,,2023-06-10 22:00:00,0.00
SAINT MARCEL,,2023-06-10 23:00:00,0.00
SAINT MARCEL,,2023-06-11 00:00:00,0.00
SAINT MARCEL,,2023-06-11 01:00:00,0.00
SAINT MARCEL,,2023-06-11 02:00:00,0.00
SAINT MARCEL,,2023-06-11 03:00:00,0.00
SAINT MARCEL,,2023-06-11 04:00:00,0.00
SAINT MARCEL,,2023-06-11 05:00:00,0.00
SAINT MARCEL,,2023-06-11 06:00:00,7.58
SAINT MARCEL,,2023-06-11 07:00:00,53.00
SAINT MARCEL,,2023-06-11 08:00:00,121.42
SAINT MARCEL,,2023-06-11 09:00:00,170.42
SAINT MARCEL,,2023-06-11 10:00:00,247.83
SAINT MARCEL,,2023-06-11 11:00:00,322.17
SAINT MARCEL,,2023-06-11 12:00:00,401.67
SAINT MARCEL,,2023-06-11 13:00:00,414.17
SAINT MARCEL,,2023-06-11 14:00:00,338.67
SAINT MARCEL,,2023-06-11 15:00:00,342.17
SAINT MARCEL,,2023-06-11 16:00:00,346.83
SAINT MARCEL,,2023-06-11 17:00:00,332.33
SAINT MARCEL,,2023-06-11 18:00:00,211.08
SAINT MARCEL,,2023-06-11 19:00:00,56.75
SAINT MARCEL,,2023-06-11 20:00:00,38.92
SAINT MARCEL,,2023-06-11 21:00:00,2.08
SAINT MARCEL,,2023-06-11 22:00:00,0.00
SAINT MARCEL,,2023-06-11 23:00:00,0.00
SAINT MARCEL,,2023-06-12 00:00:00,0.00
SAINT MARCEL,,2023-06-12 01:00:00,0.00
SAINT MARCEL,,2023-06-12 02:00:00,0.00
SAINT MARCEL,,2023-06-12 03:00:00,0.00
