﻿Installation,ID client,Date,Courbe de charge (kWh)
LYCEE RESTAT - SERRE,P000387,2023-06-13 08:00:00,90.33
LYCEE RESTAT - SERRE,P000387,2023-06-13 09:00:00,179.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 10:00:00,225.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 11:00:00,373.75
LYCEE RESTAT - SERRE,P000387,2023-06-13 12:00:00,575.58
LYCEE RESTAT - SERRE,P000387,2023-06-13 13:00:00,564.58
LYCEE RESTAT - SERRE,P000387,2023-06-13 14:00:00,442.25
LYCEE RESTAT - SERRE,P000387,2023-06-13 15:00:00,554.67
LYCEE RESTAT - SERRE,P000387,2023-06-13 16:00:00,354.92
LYCEE RESTAT - SERRE,P000387,2023-06-13 17:00:00,174.58
LYCEE RESTAT - SERRE,P000387,2023-06-13 18:00:00,17.50
LYCEE RESTAT - SERRE,P000387,2023-06-13 19:00:00,14.67
LYCEE RESTAT - SERRE,P000387,2023-06-13 20:00:00,46.50
LYCEE RESTAT - SERRE,P000387,2023-06-13 21:00:00,4.08
LYCEE RESTAT - SERRE,P000387,2023-06-13 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-14 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-14 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-14 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-14 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-14 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-14 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-14 06:00:00,3.42
LYCEE RESTAT - SERRE,P000387,2023-06-14 07:00:00,44.33
LYCEE RESTAT - SERRE,P000387,2023-06-14 08:00:00,76.42
LYCEE RESTAT - SERRE,P000387,2023-06-14 09:00:00,262.33
LYCEE RESTAT - SERRE,P000387,2023-06-14 10:00:00,433.83
LYCEE RESTAT - SERRE,P000387,2023-06-14 11:00:00,645.83
LYCEE RESTAT - SERRE,P000387,2023-06-14 12:00:00,691.50
LYCEE RESTAT - SERRE,P000387,2023-06-14 13:00:00,601.75
LYCEE RESTAT - SERRE,P000387,2023-06-14 14:00:00,770.25
LYCEE RESTAT - SERRE,P000387,2023-06-14 15:00:00,744.92
LYCEE RESTAT - SERRE,P000387,2023-06-14 16:00:00,696.67
LYCEE RESTAT - SERRE,P000387,2023-06-14 17:00:00,577.75
LYCEE RESTAT - SERRE,P000387,2023-06-14 18:00:00,391.17
LYCEE RESTAT - SERRE,P000387,2023-06-14 19:00:00,181.92
LYCEE RESTAT - SERRE,P000387,2023-06-14 20:00:00,50.25
LYCEE RESTAT - SERRE,P000387,2023-06-14 21:00:00,2.67
LYCEE RESTAT - SERRE,P000387,2023-06-14 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-14 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-15 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-15 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-15 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-15 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-15 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-15 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-15 06:00:00,0.75
LYCEE RESTAT - SERRE,P000387,2023-06-15 07:00:00,18.50
LYCEE RESTAT - SERRE,P000387,2023-06-15 08:00:00,50.75
LYCEE RESTAT - SERRE,P000387,2023-06-15 09:00:00,91.42
LYCEE RESTAT - SERRE,P000387,2023-06-15 10:00:00,148.67
LYCEE RESTAT - SERRE,P000387,2023-06-15 11:00:00,301.83
LYCEE RESTAT - SERRE,P000387,2023-06-15 12:00:00,327.67
LYCEE RESTAT - SERRE,P000387,2023-06-15 13:00:00,432.50
LYCEE RESTAT - SERRE,P000387,2023-06-15 14:00:00,481.25
LYCEE RESTAT - SERRE,P000387,2023-06-15 15:00:00,619.08
LYCEE RESTAT - SERRE,P000387,2023-06-15 16:00:00,654.75
LYCEE RESTAT - SERRE,P000387,2023-06-15 17:00:00,485.92
LYCEE RESTAT - SERRE,P000387,2023-06-15 18:00:00,328.25
LYCEE RESTAT - SERRE,P000387,2023-06-15 19:00:00,178.58
LYCEE RESTAT - SERRE,P000387,2023-06-15 20:00:00,56.75
LYCEE RESTAT - SERRE,P000387,2023-06-15 21:00:00,7.92
LYCEE RESTAT - SERRE,P000387,2023-06-15 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-15 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-16 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-16 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-16 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-16 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-16 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-16 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-16 06:00:00,9.25
LYCEE RESTAT - SERRE,P000387,2023-06-16 07:00:00,75.58
LYCEE RESTAT - SERRE,P000387,2023-06-16 08:00:00,211.17
LYCEE RESTAT - SERRE,P000387,2023-06-16 09:00:00,397.08
LYCEE RESTAT - SERRE,P000387,2023-06-16 10:00:00,574.50
LYCEE RESTAT - SERRE,P000387,2023-06-16 11:00:00,694.67
LYCEE RESTAT - SERRE,P000387,2023-06-16 12:00:00,750.00
LYCEE RESTAT - SERRE,P000387,2023-06-16 13:00:00,754.83
LYCEE RESTAT - SERRE,P000387,2023-06-16 14:00:00,738.33
